datetime,symbol,Open,High,Low,Close,Volume
2023-03-21 10:00:00,BMFBOVESPA:IBOV,100922.79,101670.35,100922.79,100998.13,0.0
2023-03-22 10:00:00,BMFBOVESPA:IBOV,100997.54,101887.72,100128.79,100220.63,0.0
2023-03-23 10:00:00,BMFBOVESPA:IBOV,100221.1,101125.76,96996.844,97926.344,0.0
2023-03-24 10:00:00,BMFBOVESPA:IBOV,97926.141,99258.43,97687.656,98829.273,0.0
2023-03-27 10:00:00,BMFBOVESPA:IBOV,98833.078,99996.57,98833.078,99670.469,0.0
2023-03-28 10:00:00,BMFBOVESPA:IBOV,99672.172,101559.17,99488.188,101185.09,0.0
2023-03-29 10:00:00,BMFBOVESPA:IBOV,101185.19,102213.27,100247.89,101792.52,0.0
2023-03-30 10:00:00,BMFBOVESPA:IBOV,101795.79,104085.4,101795.79,103713.45,0.0
2023-03-31 10:00:00,BMFBOVESPA:IBOV,103714.34,104040.62,101475.57,101882.2,0.0
2023-04-03 10:00:00,BMFBOVESPA:IBOV,101883.21,101915.71,100650.55,101506.18,0.0
2023-04-04 10:00:00,BMFBOVESPA:IBOV,101504.82,103055.92,101504.82,101869.45,0.0
2023-04-05 10:00:00,BMFBOVESPA:IBOV,101869.09,101960.48,99897.781,100977.85,0.0
2023-04-06 10:00:00,BMFBOVESPA:IBOV,100977.85,101627.96,100442.96,100821.73,0.0
2023-04-10 10:00:00,BMFBOVESPA:IBOV,100821.82,102195.62,100819.1,101846.64,0.0
2023-04-11 10:00:00,BMFBOVESPA:IBOV,101848.94,106455.33,101847.79,106213.76,0.0
2023-04-12 10:00:00,BMFBOVESPA:IBOV,106217.9,108277.02,106216.58,106889.71,0.0
2023-04-13 10:00:00,BMFBOVESPA:IBOV,106889.71,107037.28,106219.71,106457.85,0.0
2023-04-14 10:00:00,BMFBOVESPA:IBOV,106457.58,106700.62,104934.09,106279.37,0.0
2023-04-17 10:00:00,BMFBOVESPA:IBOV,106279.37,106829.81,105622.91,106015.67,0.0
2023-04-18 10:00:00,BMFBOVESPA:IBOV,106022.52,106474.75,105121.74,106163.23,0.0
2023-04-19 10:00:00,BMFBOVESPA:IBOV,106148.97,106148.97,103603.7,103912.94,0.0
2023-04-20 10:00:00,BMFBOVESPA:IBOV,103913.47,104615.18,103086.98,104366.82,0.0
2023-04-24 10:00:00,BMFBOVESPA:IBOV,104366.82,104821.97,103247.04,103946.58,0.0
2023-04-25 10:00:00,BMFBOVESPA:IBOV,103946.58,103946.58,102633.1,103220.09,0.0
2023-04-26 10:00:00,BMFBOVESPA:IBOV,103220.09,103667.52,102233.43,102312.1,0.0
2023-04-27 10:00:00,BMFBOVESPA:IBOV,102309.98,103177.38,101975.35,102923.31,0.0
2023-04-28 10:00:00,BMFBOVESPA:IBOV,102922.7,104431.63,102448.52,104431.63,0.0
2023-05-02 10:00:00,BMFBOVESPA:IBOV,104431.23,104446.78,101569.48,101926.95,0.0
